sample	14age(yr)	14uncext(yr)	14uncint(yr)	icedage(yr)	iceduncext(yr)	iceduncint(yr)	14age_PR1134(yr)	14uncext_PR1134(yr)	14uncint_PR1134(yr)
JS2010-R9-7-1	11037	2195	963	20621	3805	5966	20964	11425	4018
JS2010-R9-7-2	8362	1406	677	13169	1512	2216	13188	3909	1525
JJ2015-KAY-101	4390	559	266	6006	404	599	5971	1047	402
JJ2015-KAY-103	4870	631	284	6739	445	685	6682	1219	441
JJ2015-KAY-105	2764	358	224	3655	313	389	3635	593	312
JJ2015-KAY-107	4057	541	307	5493	456	600	5474	971	455
JJ2015-KAY-108	5881	822	380	8222	623	940	8219	1677	624
JJ2015-KAY-109	3315	437	266	4460	385	486	4430	752	383
JJ2015-KAY-110	4739	633	324	6503	499	703	6464	1191	496
JJ2015-KAY-111	4737	622	303	6493	466	679	6459	1177	464
19-KP-001-BR	3776	628	479	5060	697	780	5072	1043	701
19-KP-003-BR	5680	712	155	7845	248	700	7879	1478	251
19-KP-006-BR	7712	1108	224	11617	446	1348	11647	2866	450
19-KP-007-BR	3809	420	88	5155	130	381	5136	797	130
19-KP-008-BR	5269	640	132	7245	207	615	7260	1302	208
19-KP-009-BR	5097	612	127	6996	198	585	7007	1235	198
19-KP-010-BR	3315	355	79	4457	115	317	4437	658	114
19-KP-011-BR	6264	815	171	8901	291	851	8901	1793	292
19-KP-012-BR	4581	675	430	6261	657	807	6250	1223	656
JJ2015-CIN-102	6124	790	167	8753	287	829	8650	1712	282
JJ2015-CIN-108	4486	518	111	6149	170	487	6093	1009	168
JJ2015-CIN-112	2561	263	66	3376	92	228	3346	464	91
JJ2015-NOT-103	2429	244	45	3264	64	210	3206	437	63
JJ2015-NOT-104	2914	302	58	3976	84	269	3906	557	83
JJ2015-NOT-107	3667	400	78	5110	120	373	4997	767	117
JJ2015-TUR-117	2285	230	53	3030	73	197	2990	404	72
JJ2015-TUR-132	5530	683	136	7839	226	691	7700	1423	220
JJ2015-TUR-123	2808	291	65	3796	93	258	3732	529	91
JJ2015-TUR-138	8564	1422	621	13996	1512	2376	13673	4136	1449
