name,elv_m,t_LSDn
J2015-GR52,824,22746
J2015-GR51,823,18581
J2015-GR48,795,6460
J2015-GR47,793,7695
J2015-GR54,782,7744
J2015-GR53a,780,6216
J2015-GR53b,780,6657
J2015-GR56,710,6559
J2015-GR58,710,6627
J2015-GR55,709,6678
J2015-GR59,648,6339
J2015-GR62a,629,6341
J2015-GR62b,629,6636
J2015-GR63,613,6291
J2015-GR64,588,3243
J2015-GR67,587,4235
J2015-GR44a,569,7127
J2015-GR45,569,6586
J2015-GR46,563,6218
J2015-GR41,552,6602
J2015-GR36,524,6591
J2015-GR38,523,5140
J2015-GR35,522,6955
J2015-GR34,517,4661
J2015-GR68,505,5843
J2015-GR69,498,6936
J2015-GR82,446,6381
J2015-GR80,430,6466
J2015-GR79,429,6104
J2015-GR78,417,4037
J2015-GR77,416,4531
J2015-CC98,264,6408
J2015-CC99,263,6301
J2015-CC95,245,6610
J2015-CC93,219,4310
J2015-CC91,179,6540
J2015-CC92,179,6009
J2015-CC90,87,1027
J2015-CC89,86,827
J2015-CC87,84,867
J2015-CC86,62,217
