name,elv_m,t_LSDn
10-BDM-027-KYF,1000,48126
10-BDM-030-KYF,1051,15478
10-BDM-031-KYF,1047,26152
10-BDM-032-KYF,1045,19382
10-BDM-033-KYF,1045,17768
10-BDM-042-KYF,1022,15333
10-BDM-043-KYF,1049,20701
10-BDM-058-HOP,827,180934
10-BDM-060-HOP,824,13240
10-BDM-062-HOP,764,12467
10-BDM-064-HOP,723,15011
07-SCT-185-HOP,723,11781
10-BDM-067-HOP,619,10483
10-BDM-067-HOP,619,10489
10-BDM-068-HOP,603,10873
10-BDM-072-HOP,519,10195
10-BDM-074-HOP,504,10441
10-BDM-075-HOP,449,16430
10-BDM-077-HOP,449,8493
07-SCT-189-HOP,439,8598
07-SCT-188-HOP,438,8556
10-BDM-054-HOP,368,8620
10-BDM-056-HOP,368,10101
10-BDM-052-HOP,313,9272
10-BDM-050-HOP,292,8402
10-BDM-050-HOP,292,4693
07-SCT-198-HOP,226,10170
07-SCT-197-HOP,224,9399
10-BDM-079-HOP,224,9308
10-BDM-080-HOP,223,10283
10-BDM-082-HOP,195,9229
10-BDM-083-HOP,189,9106
07-SCT-196-HOP,182,8442
10-BDM-046-HOP,161,7909
07-SCT-195-HOP,140,7717
07-SCT-194-HOP,120,7214
07-SCT-192-HOP,92,3147
07-SCT-190-HOP,81,542
10-BDM-091-GEM,549,7119
10-BDM-090-GEM,537,5883
10-BDM-089-GEM,512,5423
10-BDM-087-GEM,494,1528
07-SCT-116-TAY,1195,15106
07-SCT-119-TAY,1195,17741
07-SCT-120-TAY,1196,15722
07-SCT-122-TAY,1199,14947
07-SCT-025-RGB,890.6,11541
07-SCT-026-RGB,884.6,10261
07-SCT-022-RGB,844.6,8286
07-SCT-023-RGB,837.5,8368
07-SCT-029-RGB,738.5,7890
07-SCT-041-RGB,735,7677
07-SCT-046-RGB,694.1,7650
07-SCT-043-RGB,662.1,7717
07-SCT-005-RGB,588.5,7133
07-SCT-004-RGB,587,6836
07-SCT-007-RGB,514.7,5913
07-SCT-008-RGB,480.8,5901
07-SCT-010-RGB,413.6,5878
07-SCT-014-RGB,325.1,4172
04-RDY-043-KRO,292,5053
04-RDY-044-KRO,292,4614
04-RDY-048-KRO,248,4265
04-RDY-047-KRO,247,3888
04-RDY-047-KRO,247,4031
07-SCT-018-RGB,225.2,3320
07-SCT-109-KHL,204.2,3323
04-RDY-049-KRO,203,3463
04-RDY-050-KRO,203,3348
04-RDY-052-KRO,182,3122
07-SCT-106-KHL,153.8,3154
07-SCT-105-KHL,110.5,1356
07-SCT-103-KHL,70,99
04-RDY-074-LNG,1060,7697
04-RDY-076-LNG,1050,7916
04-RDY-059-RCN,908,8084
04-RDY-061-RCN,853,7456
04-RDY-064-RCN,806,6671
04-RDY-041-UNN,898,7651
04-RDY-040-UNN,896,7235
04-RDY-042-UNN,896,7440
04-RDY-039-UNN,811,6988
04-RDY-038-UNN,810,7057
04-RDY-036-UNN,773,7144
04-RDY-037-UNN,773,4034
04-RDY-035-UNN,745,516
03-RDY-139-CHN,745,7206
03-RDY-151-CHN,724.4,7017
03-RDY-146-CHN,679.6,5196
03-RDY-141-CHN,641.3,1459
03-RDY-142-CHN,641.3,1725
