name	elv_m	N14_atoms_g	delN14_atoms_g	extraction_lab	t_LSDn	dNnorm_ext_LSDn
J2018-R006	47	6100	400	Korea University	340	27
14-HAT-033-DH	279.9	10800	4430	Tulane	473	190
10-MPS-035-CSP	256.0710482	23510	1107	Tulane	1082	70
10-LAR-033-DRY	101	31100	1450	Tulane	1747	108
14-HAT-032-DH	279.9	31300	13100	Tulane	1441	557
J2018-R001	48	36600	1800	Korea University	2229	137
CF_60_08	268	39810	1525	Tulane	1931	108
NBP2002-SIF-01	1	55840	1296	Tulane	3969	174
JJ2015-CIN-112	179	60280	1332	Tulane	3376	152
JJ2015-KAY-105	149.831999	61670	4206	Tulane	3655	250
JJ2011-P11-14-1	510	68500	1366	Tulane	2891	131
JJ2015-TUR-117	451	70300	1410	Tulane	3030	137
14-TUG-033-CCR	78.9	72230	5941	Tulane	5089	366
J2018-R004	46	72400	2100	Korea University	5425	230
JJ2015-KAY-109	170.414999	73040	4761	Tulane	4460	283
19-KP-001-BR	140	74510	7442	Tulane	5060	423
19-KP-010-BR	248	77348.40043	1502.523348	Tulane	4457	185
10-LAR-034-DRY	133	77840	1959	Tulane	5337	220
10-LAR-018-SJO	116	77900	1790	Tulane	5506	221
10-BDM-057-HOP	369	79900	1466	Tulane	4053	171
CF_184_08	239	79920	2098	Tulane	4750	204
J2018-F010	92	82700	6300	Korea University	6171	396
19-KP-007-BR	209	82784.14285	1503.103264	Tulane	5155	204
JJ2015-KAY-107	160.011999	83260	4870	Tulane	5493	309
10-BDM-050-HOP	292	83620	1500	Tulane	4693	190
10-LAR-024-SJO	39	84000	1840	Tulane	6927	256
10-LAR-034-DRY	133	87850	2952	Tulane	5337	220
10-MPS-031-CSP	256.0710482	88264	2958	Tulane	5477	241
10-LAR-035-DRY	159	88730	2144	Tulane	6208	242
14-TUG-034-CCR	109.6	90130	6632	Tulane	6736	410
14-AVG-001-RDF	125.9	91180	1420	Tulane	7815	410
10-LAR-022-SJO	74	92200	1910	Tulane	7370	264
JJ2015-CIN-108	181	93270	1740	Tulane	6149	231
JJ2015-KAY-111	153.645999	93510	4418	Tulane	6493	309
10-LAR-018-SJO	116	93610	2924	Tulane	5506	221
JJ2015-KAY-110	161.362999	94470	4772	Tulane	6503	320
J2018-F009	92	96100	5100	Korea University	7796	368
JJ2015-TUR-123	639	98400	1900	Tulane	3796	163
14-BTN-002-MZS	125.3	98490	1505	Tulane	7663	261
01-MBL-168-GAP	263	99230	4861	Tulane	6404	312
14-AVG-001-RDF	125.9	99840	6383	Tulane	7815	410
10-MPS-024-CSP	353.5579469	101000	1785	Tulane	5758	220
19-KP-003-BR	151	101208.6861	1920.258161	Tulane	7845	271
14-AVG-002-RDF	115.5	101500	6394	Tulane	8426	425
19-KP-009-BR	236	102622.6636	1842.236084	Tulane	6996	251
