sample	14age(yr)	14uncext(yr)	14uncint(yr)	icedage(yr)	iceduncint(yr)	iceduncext(yr)	14age_PR1136(yr)	14uncext_PR1136(yr)	14uncint_PR1136(yr)
14-TUG-033-CCR	3788	569	396	5089	578	677	5077	965	578
14-TUG-034-CCR	4931	759	497	6736	766	926	6725	1377	766
14-TUG-035-CCR	7197	1236	757	10574	1411	1772	10534	2742	1407
14-TUG-036-CCRa	9533	1875	1088	15905	2925	3795	15785	6007	2894
14-TUG-036-CCRb	7135	978	165	10490	307	1101	10428	2331	305
14-TUG-036-CCRc	7929	1155	227	12150	472	1462	12073	3060	468
14-TUG-037-CCR	8645	1591	918	13711	2109	2745	13661	4396	2104
14-TUG-038-CCRa	9183	1750	1004	15012	2529	3305	14939	5297	2517
14-TUG-038-CCRb	10215	1746	306	17911	966	3338	17815	7057	961
14-TUG-038-CCRc	10731	1900	308	19625	1121	4179	19513	8873	1113
14-TUG-038-CCRd	8077	1182	197	12490	418	1518	12434	3226	417
14-TUG-010-SKB	5889	743	138	8239	227	742	8214	1568	226
14-TUG-011-SKB	7017	955	167	10254	307	1061	10238	2259	307
14-TUG-039-SKB	12980	2725	466	38061	12032	42611	38258	94795	12567
14-TUG-040-SKB	10005	1684	295	17609	927	3202	17360	6628	902
14-TUG-041-SKB	12939	2710	477	35961	9600	33040	35710	69328	9476
14-AVG-001-RDFa	5651	863	519	7815	832	1056	7814	1660	834
14-AVG-001-RDFb	4976	590	106	6793	164	552	6790	1173	164
14-AVG-002-RDF	6056	946	564	8426	922	1178	8462	1875	932
14-AVG-003-RDF	6755	1092	634	9701	1117	1449	9708	2330	1123
14-AVG-004-RDF-A	7583	1287	734	11326	1430	1875	11356	3057	1443
14-AVG-004-RDF-B	7443	1249	710	11085	1369	1798	11074	2917	1372
14-AVG-005-RDF	6708	1076	620	9591	1083	1411	9614	2285	1091
14-BTN-001-MZS	6009	763	133	8439	220	766	8401	1623	219
14-BTN-002-MZS	5553	684	121	7663	193	660	7659	1405	193
14-BTN-003-MZS	5798	732	159	8077	258	732	8053	1526	258
14-TUG-013-SKF	9190	1456	244	14886	603	2174	14809	4613	600
14-TUG-014-SKF	10067	1700	283	17181	827	3006	17141	6424	829
14-TUG-019-SKF	11119	2048	441	20962	1797	5130	20804	10602	1776
14-TUG-020-SKF	8761	1346	223	13954	519	1895	13870	4016	516
14-TUG-021-SKF	10148	1743	389	17301	1142	3152	17451	6753	1175
14-TUG-022-SKF	11008	2011	432	20153	1612	4609	20369	10009	1673
14-TUG-023-SKF	17020	4894	785	0	0	0	60000	60000	60000
14-TUG-024-SKF	6618	876	150	9489	263	927	9461	1972	263
14-TUG-025-SKF	7999	1165	197	12189	405	1450	12176	3100	407
14-TUG-026-SKF	7260	1004	173	10651	321	1133	10641	2417	322
