name,name,t_LSDn,nuclide
10-MPS-008-NNS,No Name Spur,863024,N10quartz
10-MPS-008-NNS,No Name Spur,0,N14quartz
10-MPS-008-NNS,No Name Spur,15746,N14quartz
10-MPS-012-NNS,No Name Spur,1044244,N10quartz
10-MPS-012-NNS,No Name Spur,13354,N14quartz
10-MPS-013-NNS,No Name Spur,33388,N14quartz
10-MPS-013-NNS,No Name Spur,11169,N14quartz
10-MPS-013-NNS,No Name Spur,8273,N14quartz
10-MPS-015-CSP,Mt. Coulter south peak ,1338668,N10quartz
10-MPS-015-CSP,Mt. Coulter south peak ,12345,N14quartz
10-MPS-016-CSP,Mt. Coulter south peak ,16326,N14quartz
10-MPS-022-CSP,Mt. Coulter south peak ,8370,N14quartz
10-MPS-024-CSP,Mt. Coulter south peak ,194233,N10quartz
10-MPS-024-CSP,Mt. Coulter south peak ,5758,N14quartz
10-MPS-031-CSP,Mt. Coulter south peak ,360807,N10quartz
10-MPS-031-CSP,Mt. Coulter south peak ,0,N14quartz
10-MPS-035-CSP,Mt. Coulter south peak ,224066,N10quartz
10-MPS-035-CSP,Mt. Coulter south peak ,1082,N14quartz
10-MPS-038-NNS,No Name Spur,591526,N10quartz
10-MPS-038-NNS,No Name Spur,12037,N14quartz
10-MPS-039-NNS,No Name Spur,0,N14quartz
10-MPS-039-NNS,No Name Spur,7938,N14quartz
10-MPS-043-NNS,No Name Spur,254234,N10quartz
10-MPS-043-NNS,No Name Spur,10421,N14quartz
10-MPS-046-NNS,No Name Spur,317871,N10quartz
10-MPS-046-NNS,No Name Spur,0,N14quartz
10-MPS-046-NNS,No Name Spur,0,N14quartz
10-MPS-046-NNS,No Name Spur,24192,N14quartz
10-MPS-046-NNS,No Name Spur,0,N14quartz
10-MPS-051-NVO,Mt. Nervo,12160,N14quartz
11-ATH-201-WAR,Mt. Warnke massif,10095,N14quartz
11-ATH-202-WAR,Mt. Warnke massif,10299,N14quartz
10-LAR-018-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",4767,N10quartz
10-LAR-018-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",5506,N14quartz
10-LAR-018-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",7224,N14quartz
10-LAR-022-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",4284,N10quartz
10-LAR-022-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",7370,N14quartz
10-LAR-022-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",8986,N14quartz
10-LAR-023-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",3299,N10quartz
10-LAR-023-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",0,N14quartz
10-LAR-024-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",3359,N10quartz
10-LAR-024-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",6927,N14quartz
10-LAR-024-SJO,"Sjogren-Boydell fjord, unnamed nunatak C",10814,N14quartz
10-LAR-033-DRY,"Drygalski Glacier, unnamed nunatak E",6191,N10quartz
10-LAR-033-DRY,"Drygalski Glacier, unnamed nunatak E",1747,N14quartz
10-LAR-034-DRY,"Drygalski Glacier, unnamed nunatak E",4741,N10quartz
10-LAR-034-DRY,"Drygalski Glacier, unnamed nunatak E",5337,N14quartz
10-LAR-034-DRY,"Drygalski Glacier, unnamed nunatak E",6346,N14quartz
10-LAR-035-DRY,"Drygalski Glacier, unnamed nunatak E",5452,N10quartz
10-LAR-035-DRY,"Drygalski Glacier, unnamed nunatak E",6208,N14quartz
10-LAR-035-DRY,"Drygalski Glacier, unnamed nunatak E",8421,N14quartz
04-DW-033-BR,Mt. DeWitt,673657,N10quartz
04-DW-033-BR,Mt. DeWitt,0,N14quartz
04-DW-035-BR,Mt. DeWitt,713404,N10quartz
04-DW-035-BR,Mt. DeWitt,0,N14quartz
