sample lat long elv Pflag thick dens shield erosion N14 N14unc samplingyr
JS2010-R9-7-1 -74.57908 -111.88710 478.00000 ant 10.0 2.70 0.9990 0 199797.000 8274.000 2010
JS2010-R9-7-2 -74.57912 -111.88690 477.00000 ant 4.1 2.70 0.9770 0 177421.000 8283.000 2010
JJ2015-KAY-101 -75.22057 -110.95981 334.00000 ant 3.4 2.70 0.9993 0 103700.000 4750.000 2016
JJ2015-KAY-103 -75.21962 -110.95909 301.81899 ant 1.9 2.70 0.9975 0 109800.000 4694.000 2016
JJ2015-KAY-105 -75.21650 -110.96267 149.83199 ant 1.9 2.70 0.9933 0 61670.000 4206.000 2016
JJ2015-KAY-107 -75.21674 -110.96291 160.01199 ant 3.2 2.70 0.9961 0 83260.000 4870.000 2016
JJ2015-KAY-108 -75.21686 -110.96308 166.61999 ant 4.2 2.70 0.9942 0 108300.000 4790.000 2016
JJ2015-KAY-109 -75.21696 -110.96321 170.41499 ant 1.9 2.70 0.9972 0 73040.000 4761.000 2016
JJ2015-KAY-110 -75.21675 -110.96298 161.36299 ant 1.9 2.70 0.9967 0 94470.000 4772.000 2016
JJ2015-KAY-111 -75.21660 -110.96282 153.64599 ant 1.9 2.70 0.9941 0 93510.000 4418.000 2016
19-KP-001-BR -75.21636 -110.96243 140.00000 ant 8.2 2.70 0.9964 0 74510.000 7442.000 2020
19-KP-003-BR -75.21663 -110.96293 151.00000 ant 8.2 2.70 0.9964 0 101208.686 1920.258 2020
19-KP-006-BR -75.21695 -110.96312 181.00000 ant 5.3 2.70 0.9951 0 130159.169 2279.791 2020
19-KP-007-BR -75.21798 -110.96249 209.00000 ant 3.4 2.70 0.9933 0 82784.142 1503.103 2020
19-KP-008-BR -75.21815 -110.96219 223.00000 ant 6.4 2.70 0.9933 0 103600.000 1852.000 2020
19-KP-009-BR -75.21854 -110.96127 236.00000 ant 6.1 2.70 0.9930 0 102622.663 1842.236 2020
19-KP-010-BR -75.21881 -110.96068 248.00000 ant 3.2 2.70 0.9936 0 77348.400 1502.523 2020
19-KP-011-BR -75.21927 -110.95924 281.00000 ant 4.9 2.70 0.9936 0 124777.500 2272.300 2020
19-KP-012-BR -75.22079 -110.95930 338.00000 ant 5.9 2.70 0.9996 0 105200.000 7378.000 2020
JJ2015-CIN-102 -75.21943 -111.02315 239.00000 ant 3.0 2.70 0.9989 0 122800.000 2261.000 2015
JJ2015-CIN-108 -75.21652 -111.01973 181.00000 ant 3.3 2.70 0.9994 0 93270.000 1740.000 2015
JJ2015-CIN-112 -75.21627 -111.01796 179.00000 ant 2.7 2.70 0.9994 0 60280.000 1332.000 2015
JJ2015-NOT-103 -75.39143 -111.13984 851.69999 ant 4.7 2.70 0.9981 0 105000.000 1690.000 2016
JJ2015-NOT-104 -75.38862 -111.11752 892.54699 ant 5.5 2.70 0.9981 0 126000.000 2080.000 2016
JJ2015-NOT-107 -75.38817 -111.09055 884.84299 ant 3.4 2.70 0.9984 0 151000.000 2560.000 2016
JJ2015-TUR-117 -75.38113 -111.30663 451.00000 ant 3.7 2.70 0.9993 0 70300.000 1410.000 2015
JJ2015-TUR-132 -75.38302 -111.30911 446.00000 ant 2.0 2.70 0.9996 0 139000.000 2400.000 2015
JJ2015-TUR-123 -75.37060 -111.29229 639.00000 ant 2.9 2.70 0.9933 0 98400.000 1900.000 2015
JJ2015-TUR-138 -75.37599 -111.30161 563.00000 ant 4.0 2.70 0.9997 0 203444.000 8386.000 2016
