sample lat long elv Pflag thick dens shield erosion N14 N14unc samplingyr
14-TUG-033-CCR -72.60059 169.34786 78.90000 ant 4.5 2.70 0.9906 0 72230.000 5941.000 2014
14-TUG-034-CCR -72.60131 169.34770 109.60000 ant 5.0 2.70 0.9943 0 90130.000 6632.000 2014
14-TUG-035-CCR -72.60209 169.35050 131.60000 ant 3.5 2.70 0.9947 0 120600.000 7935.000 2014
14-TUG-036-CCRa -72.60391 169.35344 180.10000 ant 3.0 2.70 0.9951 0 149400.000 9039.000 2014
14-TUG-036-CCRb -72.60391 169.35344 180.10000 ant 3.0 2.70 0.9951 0 126000.000 1832.000 2014
14-TUG-036-CCRc -72.60391 169.35344 180.10000 ant 3.0 2.70 0.9951 0 134800.000 2298.000 2014
14-TUG-037-CCR -72.60623 169.35390 274.60000 ant 5.0 2.70 0.9966 0 152300.000 9137.000 2014
14-TUG-038-CCRa -72.60673 169.35230 298.50000 ant 5.0 2.70 0.9982 0 161100.000 9574.000 2014
14-TUG-038-CCRb -72.60673 169.35230 298.50000 ant 5.0 2.70 0.9982 0 170300.000 2575.000 2014
14-TUG-038-CCRc -72.60673 169.35230 298.50000 ant 5.0 2.70 0.9982 0 174400.000 2427.000 2014
14-TUG-038-CCRd -72.60673 169.35230 298.50000 ant 5.0 2.70 0.9982 0 150000.000 2150.000 2014
14-TUG-010-SKB -72.63134 169.38034 181.20000 ant 5.0 2.70 0.9979 0 109600.000 1758.000 2014
14-TUG-011-SKB -72.63359 169.36154 326.39999 ant 5.5 2.70 0.9924 0 139300.000 2105.000 2014
14-TUG-039-SKB -72.63116 169.33062 557.50000 ant 6.0 2.70 0.9864 0 234900.000 3457.000 2014
14-TUG-040-SKB -72.63054 169.33722 516.90000 ant 4.0 2.70 0.9947 0 206300.000 3118.000 2014
14-TUG-041-SKB -72.63104 169.34911 389.60000 ant 5.0 2.70 0.9924 0 204700.000 3108.000 2014
14-AVG-001-RDFa -73.95872 165.07240 125.90000 ant 6.5 2.70 0.9962 0 99840.000 6383.000 2015
14-AVG-001-RDFb -73.95872 165.07240 125.90000 ant 6.5 2.70 0.9962 0 91180.000 1420.000 2015
14-AVG-002-RDF -73.95853 165.07238 115.50000 ant 9.0 2.70 0.9939 0 101500.000 6394.000 2015
14-AVG-003-RDF -73.96423 165.07988 200.30000 ant 7.0 2.70 0.9970 0 120200.000 7275.000 2015
14-AVG-004-RDF-A -73.96533 165.08225 242.60000 ant 8.0 2.70 0.9969 0 133700.000 7878.000 2015
14-AVG-004-RDF-B -73.96533 165.08225 242.60000 ant 6.0 2.70 0.9969 0 134200.000 7873.000 2015
14-AVG-005-RDF -73.96074 165.07508 184.60000 ant 8.0 2.70 0.9976 0 117100.000 7001.000 2015
14-BTN-001-MZS -74.70042 164.10193 125.30000 ant 4.0 2.70 0.9993 0 106500.000 1597.000 2015
14-BTN-002-MZS -74.70042 164.10193 125.30000 ant 7.0 2.70 0.9993 0 98490.000 1505.000 2015
14-BTN-003-MZS -74.70042 164.10193 125.30000 ant 5.0 2.70 0.9993 0 103100.000 1944.000 2015
14-TUG-013-SKF -72.68292 169.54806 64.40000 ant 3.0 2.70 0.9960 0 131600.000 1898.000 2014
14-TUG-014-SKF -72.68247 169.54920 64.09999 ant 4.0 2.70 0.9960 0 136900.000 1960.000 2014
14-TUG-019-SKF -72.68803 169.55441 158.00000 ant 2.5 2.70 0.9899 0 157700.000 2949.000 2014
14-TUG-020-SKF -72.68916 169.55417 164.90000 ant 1.5 2.70 0.9810 0 140500.000 2002.000 2014
14-TUG-021-SKF -72.68852 169.55280 143.30000 ant 5.0 2.70 0.9810 0 144600.000 2811.000 2014
14-TUG-022-SKF -72.69056 169.55218 173.00000 ant 4.0 2.70 0.9760 0 155000.000 2892.000 2014
14-TUG-023-SKF -72.69057 169.55052 153.10000 ant 3.5 2.70 0.9760 0 180800.000 2493.000 2014
14-TUG-024-SKF -72.69042 169.55013 141.60000 ant 1.5 2.70 0.9760 0 115000.000 1700.000 2014
14-TUG-025-SKF -72.68807 169.54625 96.10000 ant 4.0 2.70 0.9918 0 123900.000 1804.000 2014
14-TUG-026-SKF -72.69022 169.53985 70.30000 ant 3.0 2.70 0.9868 0 114100.000 1689.000 2014
