sample	14age(yr)	14uncext(yr)	14uncint(yr)
14-TUG-033-CCR	4223	706	454
14-TUG-034-CCR	5519	963	579
14-TUG-035-CCR	8185	1655	923
14-TUG-036-CCRa	11244	2768	1455
14-TUG-036-CCRb	8109	1368	201
14-TUG-036-CCRc	9156	1671	287
14-TUG-037-CCR	10077	2271	1187
14-TUG-038-CCRa	10781	2552	1324
14-TUG-038-CCRb	12180	2768	423
14-TUG-038-CCRc	12885	3083	434
14-TUG-038-CCRd	9354	1724	250
14-TUG-010-SKB	6645	1015	164
14-TUG-011-SKB	7970	1333	203
14-TUG-039-SKB	16308	5101	758
14-TUG-040-SKB	11921	2657	405
14-TUG-041-SKB	16202	5029	771
14-AVG-001-RDFa	6359	1122	613
14-AVG-001-RDFb	5568	789	124
14-AVG-002-RDF	6836	1241	672
14-AVG-003-RDF	7646	1452	763
14-AVG-004-RDF-A	8703	1768	912
14-AVG-004-RDF-B	8514	1705	876
14-AVG-005-RDF	7591	1431	746
14-BTN-001-MZS	6784	1044	158
14-BTN-002-MZS	6242	926	143
14-BTN-003-MZS	6534	995	188
14-TUG-013-SKF	10762	2198	320
14-TUG-014-SKF	11941	2662	385
14-TUG-019-SKF	13405	3364	631
14-TUG-020-SKF	10212	2003	288
14-TUG-021-SKF	12063	2738	533
14-TUG-022-SKF	13247	3284	615
14-TUG-023-SKF	24228	14664	2045
14-TUG-024-SKF	7488	1210	181
14-TUG-025-SKF	9236	1689	248
14-TUG-026-SKF	8261	1409	211
